ICDO32_Code	Term	PrefTerm
8761/3	Malignant melanoma in congenital melanocytic nevus	NULL
8761/3	Malignant melanoma in giant pigmented nevus	NULL
8761/3	Melanoma arising in giant congenital nevus	NULL
8761/3	Melanoma in congenital melanocytic nevus	NULL
8761/3	Melanoma in giant pigmented nevus	NULL
8761/3	Melanoma in large, bathing-trunk, or garment-like congenital nevus	NULL
8761/3	Melanoma, congenital nevus-associated	NULL
8762/1	Atypical proliferative nodules	NULL
8762/1	Proliferative dermal lesion in congenital nevus	1
8762/1	Proliferative nodules in congenital melanocytic nevus	NULL
8770/0	Angiomatoid Spitz nevus	NULL
8770/0	Atypical pigmented spindle cell tumor	NULL
8770/0	Balloon cell Spitz nevus	NULL
8770/0	Combined Spitz nevus	NULL
8770/0	Desmoplastic Spitz nevus	NULL
8770/0	Dysplastic Spitz nevus	NULL
8770/0	Epithelioid and spindle cell nevus	1
8770/0	Hyalinizing Spitz nevus	NULL
8770/0	Inflamed juvenile conjunctival nevus	NULL
8770/0	Inflamed juvenile nevus	NULL
8770/0	Intradermal Spitz nevus	NULL
8770/0	Juvenile melanoma	NULL
8770/0	Juvenile nevus	NULL
8770/0	Myxoid Spitz nevus	NULL
8770/0	Nevus of Reed	NULL
8770/0	Pagetoid Spitz nevus	NULL
8770/0	Pigmented epithelioid cell Spitz nevus	NULL
8770/0	Pigmented spindle cell nevus (Reed nevus)	NULL
8770/0	Pigmented spindle cell nevus of Reed	NULL
8770/0	Pigmented spindle cell nevus, NOS	NULL
8770/0	Pigmented spindle cell Spitz nevus	NULL
8770/0	Plexiform Spitz nevus	NULL
8770/0	Recurrent/persistent Spitz nevus	NULL
8770/0	Spitz nevus with ALK fusion	NULL
8770/0	Spitz nevus with BRAF fusion	NULL
8770/0	Spitz nevus with HRAS mutation	NULL
8770/0	Spitz nevus with MAP3K8 fusion	NULL
8770/0	Spitz nevus with NTRK1 fusion	NULL
8770/0	Spitz nevus with NTRK3 fusion	NULL
8770/0	Spitz nevus with PRKAR1A inactivation as a secondary event	NULL
8770/0	Spitz nevus with RET fusion	NULL
8770/0	Spitz nevus with ROS1 fusion	NULL
8770/0	Spitz nevus, NOS	NULL
8770/0	Tubular Spitz nevus	NULL
8770/1	Spitz melanocytoma (atypical Spitz tumor)	NULL
8770/1	Spitz melanocytoma with ALK fusion	NULL
8770/1	Spitz melanocytoma with BRAF fusion	NULL
8770/1	Spitz melanocytoma with HRAS mutation	NULL
8770/1	Spitz melanocytoma with MAP3K8 fusion	NULL
8770/1	Spitz melanocytoma with NTRK1 fusion	NULL
8770/1	Spitz melanocytoma with NTRK3 fusion	NULL
8770/1	Spitz melanocytoma with PRKAR1A inactivation as a secondary event	NULL
8770/1	Spitz melanocytoma with RET fusion	NULL
8770/1	Spitz melanocytoma with ROS1 fusion	NULL
8770/1	Spitz melanocytoma, NOS	NULL
8770/1	Spitz nevus, atypical	NULL
8770/1	Spitz tumor of uncertain malignant potential	NULL
8770/1	Spitz tumor, atypical	NULL
8770/3	Malignant Spitz tumor	1
8770/3	Mixed epithelioid and spindle cell melanoma	NULL
8770/3	Mixed epithelioid and spindle cell uveal melanoma	NULL
8770/3	Spitz melanoma	NULL
8770/3	Spitz melanoma with ALK fusion	NULL
8770/3	Spitz melanoma with BRAF fusion	NULL
8770/3	Spitz melanoma with HRAS mutation	NULL
8770/3	Spitz melanoma with MAP3K8 fusion	NULL
8770/3	Spitz melanoma with NTRK1 fusion	NULL
8770/3	Spitz melanoma with NTRK3 fusion	NULL
8770/3	Spitz melanoma with PRKAR1A inactivation as a secondary event	NULL
8770/3	Spitz melanoma with RET fusion	NULL
8770/3	Spitz melanoma with ROS1 fusion	NULL
8770/3	Spitzoid melanoma	NULL
8771/0	Epithelioid cell nevus	1
8771/3	Epithelioid cell melanoma	1
8771/3	Epithelioid cell uveal melanoma	NULL
8772/0	Spindle cell nevus, NOS	1
8772/3	Spindle cell melanoma, NOS	1
8772/3	Spindle cell uveal melanoma, NOS	NULL
8773/3	Spindle cell melanoma, type A	NULL
8773/3	Spindle cell uveal melanoma, type A	NULL
8774/3	Spindle cell melanoma, type B	NULL
8774/3	Spindle cell uveal melanoma, type B	NULL
8780/0	Blue nevus, dendritic	NULL
8780/0	Blue nevus, NOS	1
8780/0	Combined conventional and blue melanocytic nevus	NULL
8780/0	Common blue nevus	NULL
8780/0	Conjunctival blue nevus	NULL
8780/0	Dendritic blue nevus	NULL
8780/0	Dermal dendritic melanocytic nevus	NULL
8780/0	Jadassohn blue nevus	NULL
8780/0	Jadassohn-Tièche blue nevus	NULL
8780/0	Nevus of Jadassohn	NULL
8780/0	Tièche nevus	NULL
8780/1	Blue nevus, epithelioid	NULL
8780/1	Melanocytoma, PRKAR1A-inactivated	NULL
8780/1	Pigmented epithelioid melanocytoma	1
8780/3	Blue nevus, malignant	1
8780/3	Melanoma arising in blue nevus	NULL
8790/0	Cellular blue nevus	1
8800/0	Soft tissue tumor, benign	1
8800/1	Soft tissue tumor, uncertain if benign or malignant	NULL
8800/3	Mesenchymal tumor, malignant	NULL
8800/3	Sarcoma, NOS	1
8800/3	Soft tissue sarcoma	NULL
8800/3	Soft tissue tumor, malignant	NULL
8800/9	Sarcomatosis, NOS	1
8801/3	Spindle cell sarcoma	1
8801/3	Spindle cell sarcoma, undifferentiated	NULL
8801/3	Undifferentiated spindle cell sarcoma	NULL
8802/1	Pleomorphic hyalinizing angiectatic tumor	NULL
8802/1	Pleomorphic hyalinizing angiectatic tumor of soft parts	NULL
8802/3	Anaplastic sarcoma of the kidney	NULL
8802/3	DICER1 sarcoma of kidney	NULL
8802/3	Giant cell sarcoma	1
8802/3	Pleomorphic cell sarcoma, NOS	NULL
8802/3	Pleomorphic cell sarcoma, undifferentiated	NULL
8802/3	Pleomorphic dermal sarcoma	NULL
8802/3	Pleomorphic sarcoma	NULL
8802/3	Pleomorphic sarcoma, undifferentiated	NULL
8802/3	Undifferentiated pleomorphic sarcoma	NULL
8803/3	Round cell sarcoma, NOS	NULL
8803/3	Round cell sarcoma, undifferentiated	NULL
8803/3	Small cell sarcoma	1
8804/3	Classic epithelioid sarcoma	NULL
8804/3	Epithelioid cell sarcoma	NULL
8804/3	Epithelioid sarcoma, classic	NULL
8804/3	Epithelioid sarcoma, conventional	NULL
8804/3	Epithelioid sarcoma, distal	NULL
8804/3	Epithelioid sarcoma, distal-type	NULL
8804/3	Epithelioid sarcoma, large cell	NULL
8804/3	Epithelioid sarcoma, NOS	1
8804/3	Epithelioid sarcoma, proximal	NULL
8804/3	Epithelioid sarcoma, proximal-type	NULL
8804/3	Epithelioid sarcoma, undifferentiated	NULL
8804/3	Proximal epithelioid sarcoma	NULL
8804/3	Proximal or large cell epithelioid sarcoma	NULL
8804/3	Undifferentiated epithelioid sarcoma	NULL
8805/3	Undifferentiated sarcoma	1
8805/3	Undifferentiated uterine sarcoma	NULL
8806/3	Desmoplastic small round cell tumor	1
8806/3	Intra-abdominal desmoplastic round cell tumor	NULL
8806/3	Polyphenotypic small round cell tumor	NULL
8810/0	Acral fibroblastic spindle cell neoplasm	NULL
8810/0	Collagenous fibroma	NULL
8810/0	Desmoplastic fibroblastoma	NULL
8810/0	EWSR1::SMAD3-positive fibroblastic tumor	NULL
8810/0	EWSR1::SMAD3-rearranged fibroblastic tumor	NULL
8810/0	EWSR1-SMAD3–positive fibroblastic tumor (emerging)	NULL
8810/0	Fibroblastic connective tissue nevus	NULL
8810/0	Fibroma with heterotopic bone formation	NULL
8810/0	Fibroma with minor sex cord elements	NULL
8810/0	Fibroma, NOS	1
8810/0	Gardner fibroma	NULL
8810/0	Gardner-associated fibroma	NULL
8810/0	Medallion-like dermal dendrocyte hamartoma	NULL
8810/0	Nuchal fibroma	NULL
8810/0	Nuchal-type fibroma	NULL
8810/0	Onychomatricoma	NULL
8810/0	Onychomatrixoma	NULL
8810/0	Ovarian fibroma	NULL
8810/0	Plaque-like CD34-positive dermal fibroma	NULL
8810/0	Prepubertal fibroma	NULL
8810/0	SMAD3-rearranged fibroblastic tumor	NULL
8810/1	Cellular fibroma	1
8810/1	PRDM10-rearranged soft tissue tumor	NULL
8810/1	Superficial CD34-positive fibroblastic tumor	NULL
8810/3	Adult fibrosarcoma	NULL
8810/3	Fibrosarcoma, adult	NULL
8810/3	Fibrosarcoma, NOS	1
8810/3	Ovarian fibrosarcoma	NULL
8811/0	Acral fibromyxoma	NULL
8811/0	Digital fibromyxoma	NULL
8811/0	Fibromyxoma, NOS	1
8811/0	Myxofibroma, NOS	NULL
8811/0	Myxoid fibroma	NULL
8811/0	Plexiform angiomyxoid myofibroblastic tumor	NULL
8811/0	Plexiform fibromyxoma	NULL
8811/0	Superficial acral fibromyxoma	NULL
8811/1	Atypical myxoinflammatory fibroblastic tumor	NULL
8811/1	Hemosiderotic fibrohistiocytic lipomatous lesion	NULL
8811/1	Hemosiderotic fibrolipomatous tumor	NULL
8811/1	Myxoinflammatory fibroblastic sarcoma	1
8811/3	Epithelioid myxofibrosarcoma	NULL
8811/3	Fibromyxosarcoma	NULL
8811/3	Myxofibrosarcoma	1
8812/0	Periosteal fibroma	1
8812/3	Periosteal fibrosarcoma	1
8812/3	Periosteal sarcoma, NOS	NULL
8813/0	Fascial fibroma	NULL
8813/0	Fibroma of tendon sheath	1
8813/1	Dupuytren contracture	NULL
8813/1	Dupuytren disease	NULL
8813/1	Ledderhose disease	NULL
8813/1	Palmar fibromatosis	NULL
8813/1	Palmar/plantar fibromatoses	NULL
8813/1	Palmar/plantar fibromatosis	NULL
8813/1	Palmar/plantar-type fibromatosis	1
8813/1	Penile fibromatosis	NULL
8813/1	Peyronie disease	NULL
8813/1	Plantar fibromatosis	NULL
8813/1	Superficial fibromatosis	NULL
8813/3	Fascial fibrosarcoma	1
8814/0	Classic (digital) inclusion body fibromatosis	NULL
8814/0	Inclusion body fibromatosis	NULL
8814/0	Infantile digital fibrosis/fibroma	NULL
8814/0	Non-classic (extradigital) inclusion body fibromatosis	NULL
8814/0	Recurring digital fibrosis/fibrous tumor of childhood	NULL
8814/3	Cellular congenital mesoblastic nephroma	NULL
8814/3	Cellular mesoblastic nephroma	NULL
8814/3	Congenital fibrosarcoma	NULL
8814/3	Infantile fibrosarcoma	1
8814/3	Infantile fibrosarcoma-like tumor	NULL
8815/0	Hemangiopericytoma, benign	NULL
8815/0	Solitary fibrous tumor, benign	NULL
8815/0	Solitary fibrous tumor, grade 1	NULL
8815/0	Solitary fibrous tumor/Hemangiopericytoma, grade 1	1
8815/1	Fat-forming (lipomatous) solitary fibrous tumor	NULL
8815/1	Giant cell–rich solitary fibrous tumor	NULL
8815/1	Hemangiopericytic meningioma	NULL
8815/1	Hemangiopericytoma, NOS	NULL
8815/1	Lipomatous solitary fibrous tumor	NULL
8815/1	Localized fibrous tumor	NULL
8815/1	Solitary fibrous tumor, fat-forming	NULL
8815/1	Solitary fibrous tumor, giant cell-rich	NULL
8815/1	Solitary fibrous tumor, grade 2	NULL
8815/1	Solitary fibrous tumor, lipomatous	NULL
8815/1	Solitary fibrous tumor, NOS	1
8815/1	Solitary fibrous tumor/Hemangiopericytoma, grade 2	NULL
8815/3	Dedifferentiated (anaplastic) solitary fibrous tumor	NULL
8815/3	Dedifferentiated solitary fibrous tumor	NULL
8815/3	Hemangiopericytoma, malignant	NULL
8815/3	Solitary fibrous tumor, anaplastic	NULL
8815/3	Solitary fibrous tumor, dedifferentiated	NULL
8815/3	Solitary fibrous tumor, grade 3	NULL
8815/3	Solitary fibrous tumor, malignant	1
8815/3	Solitary fibrous tumor/Hemangiopericytoma, grade 3	NULL
8816/0	Aponeurotic fibroma	NULL
8816/0	Calcifying aponeurotic fibroma	1
8816/0	Juvenile aponeurotic fibroma	NULL
8817/0	Calcifying fibrous tumor	1
8818/0	Craniofacial fibrous dysplasia	NULL
8818/0	Fibrous dysplasia	1
8818/0	Fibrous dysplasia, craniofacial	NULL
8818/0	Fibrous dysplasia, monostotic	NULL
8818/0	Fibrous dysplasia, polyostotic	NULL
8818/0	Monostotic fibrous dysplasia	NULL
8818/0	Polyostotic fibrous dysplasia	NULL
8820/0	Elastofibroma	1
8820/0	Elastofibroma dorsi	NULL
8820/0	Fibroelastoma, papillary	NULL
8820/0	Papillary fibroelastoma	NULL
8821/1	Aggressive fibromatosis	1
8821/1	Aggressive/deep fibromatosis	NULL
8821/1	Desmoid fibromatosis	NULL
8821/1	Desmoid tumor, NOS	NULL
8821/1	Desmoid, NOS	NULL
8821/1	Desmoid-type fibromatosis	NULL
8821/1	Extra-abdominal desmoid	NULL
8821/1	Invasive fibroma	NULL
8821/1	Musculoaponeurotic fibromatosis	NULL
8822/1	Abdominal desmoid	NULL
8822/1	Abdominal fibromatosis	1
8822/1	Mesenteric fibromatosis	NULL
8822/1	Retroperitoneal fibromatosis	NULL
8823/0	Sclerotic fibroma	1
8823/0	Storiform collagenoma	NULL
8823/1	Desmoplastic fibroma	1
8823/1	Desmoplastic fibroma of bone	NULL
8824/0	Dermatomyofibroma	NULL
8824/0	Glomangiopericytoma	NULL
8824/0	Myofibroma	1
8824/0	Myopericytoma	NULL
8824/0	Myopericytomatosis	NULL
8824/0	Solitary myofibroma	NULL
8824/1	Congenital generalized fibromatosis	NULL
8824/1	Generalized myofibromatosis (with visceral involvement)	NULL
8824/1	Infantile myofibromatosis	NULL
8824/1	Intravascular myopericytoma	NULL
8824/1	Multicentric myofibromatosis	NULL
8824/1	Multicentric myopericytomatosis	NULL
8824/1	Myofibromatosis	1
8824/1	Myofibromatosis, multicentric	NULL
8824/1	Myopericytomatosis, NOS	NULL
8825/0	Intranodal palisaded myofibroblastoma	NULL
8825/0	Intranodal/nodal myofibroblastoma	NULL
8825/0	Myofibroblastoma	1
8825/0	Myofibroblastoma, mammary-type	NULL
8825/0	Myofibroblastoma, superficial	NULL
8825/0	Nodal myofibroblastoma	NULL
8825/0	Palisaded myofibroblastoma	NULL
8825/0	Superficial myofibroblastoma	NULL
8825/1	Epithelioid inflammatory myofibroblastic sarcoma	NULL
8825/1	Epithelioid inflammatory myofibroblastic tumor	NULL
8825/1	Epithelioid myofibroblastic sarcoma	NULL
8825/1	Inflammatory myofibroblastic tumor	NULL
8825/1	Inflammatory pseudotumor	NULL
8825/1	Myofibroblastic tumor, NOS	1
8825/3	Low-grade myofibroblastic sarcoma	NULL
8825/3	Myofibroblastic sarcoma	1
8825/3	Myofibroblastic sarcoma, low-grade	NULL
8825/3	Myofibrosarcoma	NULL
8826/0	Angiomyofibroblastoma	1
8827/1	Congenital peribronchial myofibroblastic tumor	NULL
8827/1	Myofibroblastic tumor, peribronchial	1
8828/0	Cranial fasciitis	NULL
8828/0	Intravascular fasciitis	NULL
8828/0	Nodular fasciitis	1
8828/0	Proliferative fasciitis	NULL
8828/0	Proliferative myositis	NULL
8830/0	Aneurysmal fibrous histiocytoma	NULL
8830/0	Benign fibrous histiocytoma, NOS	1
8830/0	Cellular fibrous histiocytoma	NULL
8830/0	Epithelioid cell histiocytoma	NULL
8830/0	Epithelioid fibrous histiocytoma	NULL
8830/0	Fibrous histiocytoma, NOS	NULL
8830/0	Fibroxanthoma, NOS	NULL
8830/0	Non-ossifying fibroma	NULL
8830/0	Xanthofibroma	NULL
8830/1	Atypical fibrous histiocytoma	1
8830/1	Atypical fibroxanthoma	NULL
8830/3	Fibrous histiocytoma, malignant	NULL
8830/3	Fibroxanthoma, malignant	NULL
8830/3	Malignant fibrous histiocytoma	1
8830/3	Undifferentiated high grade pleomorphic sarcoma of bone	NULL
8831/0	Deep benign fibrous histiocytoma	NULL
8831/0	Deep fibrous histiocytoma	NULL
8831/0	Deep histiocytoma	NULL
8831/0	Histiocytoma, NOS	1
8831/0	Juvenile histiocytoma	NULL
8831/0	Multicentric reticulohistiocytosis	NULL
8831/0	Multifocal reticulohistiocytosis	NULL
8831/0	Reticulohistiocytoma	NULL
8831/0	Reticulohistiocytosis, generalized cutaneous	NULL
8831/0	Reticulohistiocytosis, multicentric	NULL
8831/0	Reticulohistiocytosis, multifocal	NULL
8831/0	Reticulohistiocytosis, NOS	NULL
8831/0	Reticulohistiocytosis, single system/single focal	NULL
8831/0	Single system / single focal reticulohistiocytosis	NULL
8831/3	Reticulohistiocytosis with an associated hematological neoplasm	NULL
8832/0	Aneurysmal dermatofibroma	NULL
8832/0	Atypical dermatofibroma	NULL
8832/0	Cellular dermatofibroma	NULL
8832/0	Classic dermatofibroma	NULL
8832/0	Cutaneous histiocytoma, NOS	NULL
8832/0	Dermatofibroma (fibrous histiocytoma)	NULL
8832/0	Dermatofibroma lenticulare	NULL
8832/0	Dermatofibroma, aneurysmal	NULL
8832/0	Dermatofibroma, atypical	NULL
8832/0	Dermatofibroma, cellular	NULL
8832/0	Dermatofibroma, classic	NULL
8832/0	Dermatofibroma, NOS	1
8832/0	Pleomorphic fibroma	NULL
8832/0	Sclerosing hemangioma	NULL
8832/0	Sclerosing pneumocytoma	NULL
8832/0	Subepidermal nodular fibrosis	NULL
8832/1	Classic dermatofibrosarcoma protuberans	NULL
8832/1	Dermatofibrosarcoma protuberans with myoid differentiation	NULL
8832/1	Dermatofibrosarcoma protuberans, classic	NULL
8832/1	Dermatofibrosarcoma protuberans, NOS	1
8832/1	Dermatofibrosarcoma, NOS	NULL
8832/1	Myxoid dermatofibrosarcoma protuberans	NULL
8832/1	Plaque-like dermatofibrosarcoma protuberans	NULL
8832/3	Dermatofibrosarcoma protuberans with fibrosarcomatous transformation	NULL
8832/3	Dermatofibrosarcoma protuberans, fibrosarcomatous	1
8832/3	Dermatofibrosarcoma, sarcomatous	NULL
8833/1	Bednar tumor	NULL
8833/1	Pigmented dermatofibrosarcoma protuberans	1
8834/1	Giant cell fibroblastoma	1
8835/1	Plexiform fibrohistiocytic tumor	1
8836/1	Angiomatoid fibrous histiocytoma	1
8836/3	Angiomatoid malignant fibrous histiocytoma	NULL
8840/0	Cellular myxoma	NULL
8840/0	Intramuscular myxoma	NULL
8840/0	Intramuscular/juxta-articular myxoma	NULL
8840/0	Juxta-articular myxoma	NULL
8840/0	Myxoma, NOS	1
8840/0	Periarticular myxoma	NULL
8840/0	Sinonasal tract myxoma	NULL
8840/3	Low grade fibromyxoid sarcoma	NULL
8840/3	Myxosarcoma	1
8840/3	Sclerosing epithelioid fibrosarcoma	NULL
8841/0	Aggressive angiomyxoma	NULL
8841/0	Angiomyxoma, NOS	1
8841/0	Cutaneous myxoma (superficial angiomyxoma)	NULL
8841/0	Deep (aggressive) angiomyxoma	NULL
8841/0	Deep angiomyxoma	NULL
8841/0	Myxoma, cutaneous	NULL
8841/0	Superficial angiomyxoma	NULL
8842/0	Ossifying fibromyxoid tumor, NOS	1
8842/3	Ossifying fibromyxoid tumor, malignant	1
8842/3	Primary pulmonary myxoid sarcoma	NULL
8842/3	Pulmonary myxoid sarcoma with EWSR1::CREB1 fusion	NULL
8842/3	Pulmonary myxoid sarcoma with EWSR1::CREB1 translocation	NULL
8842/3	Pulmonary myxoid sarcoma with EWSR1-CREB1 fusion	NULL
8842/3	Pulmonary myxoid sarcoma with EWSR1-CREB1 translocation	NULL
8850/0	Lipoadenoma, oncocytic	NULL
8850/0	Lipoma, NOS	1
8850/0	Lipomatous hypertrophy of atrial septum	NULL
8850/0	Oncocytic lipoadenoma	NULL
8850/0	Sialolipoma	NULL
8850/0	Thymolipoma	NULL
8850/1	Atypical lipoma	NULL
8850/1	Atypical lipomatous tumor	1
8850/1	Liposarcoma, well-differentiated, superficial	NULL
8850/3	Fibroliposarcoma	NULL
8850/3	Liposarcoma, NOS	1
8851/0	Fibrolipoma	1
8851/1	Lipofibromatosis	1
8851/3	Inflammatory liposarcoma	NULL
8851/3	Lipoma-like liposarcoma	NULL
8851/3	Liposarcoma, differentiated	NULL
8851/3	Liposarcoma, well differentiated, NOS	1
8851/3	Sclerosing liposarcoma	NULL
8851/3	Well-differentiated liposarcoma	NULL
8852/0	Fibromyxolipoma	1
8852/0	Myxolipoma	NULL
8852/3	Myxoid liposarcoma	1
8852/3	Myxoliposarcoma	NULL
8852/3	Round cell liposarcoma	NULL
8853/3	Round cell liposarcoma	1
8854/0	Pleomorphic lipoma	1
8854/3	Epithelioid liposarcoma	NULL
8854/3	Epithelioid pleomorphic liposarcoma	NULL
8854/3	Pleomorphic liposarcoma	1
8854/3	Pleomorphic liposarcoma, epithelioid	NULL
8855/3	Mixed liposarcoma	1
8856/0	Angiolipoma, infiltrating	NULL
8856/0	Infiltrating angiolipoma	NULL
8856/0	Infiltrating lipoma	NULL
8856/0	Intramuscular lipoma	1
8857/0	Atypical spindle cell / pleomorphic lipomatous tumor	NULL
8857/0	Atypical spindle cell lipoma	NULL
8857/0	Pleomorphic lipoma	NULL
8857/0	Spindle cell / pleomorphic lipoma	NULL
8857/0	Spindle cell lipoma	1
8857/3	Fibroblastic liposarcoma	1
8858/3	Dedifferentiated liposarcoma	1
8859/3	Myxoid pleomorphic liposarcoma	NULL
8859/3	Pleomorphic myxoid liposarcoma	NULL
8860/0	Angiomyolipoma	1
8860/0	Angiomyolipoma with epithelial cysts	NULL
8860/0	Angiomyolipoma, inflammatory subtype	NULL
8860/0	Angiomyolipoma, oncocytic	NULL
8860/0	Inflammatory subtype of angiomyolipoma	NULL
8860/0	Oncocytic angiomyolipoma	NULL
8860/0	PEComa of kidney	NULL
8860/0	Sclerosing PEComa	NULL
8860/0	Sclerosing PEComa/angiomyolipoma	NULL
8860/1	Angiomyolipoma, epithelioid	1
8860/1	Angiomyolipoma, monotypic epithelioid	NULL
8860/1	Epithelioid angiomyolipoma	NULL
8860/1	Epithelioid PEComa of kidney	NULL
8860/3	Angiomyolipoma, epithelioid, malignant	NULL
8861/0	Angiolipoma, cellular	NULL
8861/0	Angiolipoma, NOS	1
8861/0	Cellular angiolipoma	NULL
8862/0	Chondroid lipoma	1
8862/0	Chondrolipoma	NULL
8862/0	Osteolipoma	NULL
8870/0	Adrenal myelolipoma	NULL
8870/0	Myelolipoma	1
8880/0	Brown fat tumor	NULL
8880/0	Fetal fat cell lipoma	NULL
8880/0	Hibernoma	1
8881/0	Diffuse (lipoblastomatosis)	NULL
8881/0	Fetal lipoma, NOS	NULL
8881/0	Fetal lipomatosis	NULL
8881/0	Lipoblastoma	NULL
8881/0	Lipoblastoma-like tumor	NULL
8881/0	Lipoblastoma-like tumor of the vulva	NULL
8881/0	Lipoblastomatosis	1
8881/0	Localized (lipoblastoma)	NULL
8890/0	Cotyledonoid leiomyoma	NULL
8890/0	Cotyledonoid/dissecting leiomyoma	NULL
8890/0	Cutaneous (pilar) leiomyoma	NULL
8890/0	Cutaneous leiomyomas	NULL
8890/0	Dissecting leiomyoma	NULL
8890/0	Fibroid uterus	NULL
8890/0	Fibromyoma	NULL
8890/0	Fumarate hydratase-deficient leiomyoma	NULL
8890/0	Leiomyofibroma	NULL
8890/0	Leiomyoma of the breast parenchyma	NULL
8890/0	Leiomyoma of the nipple/areola (muscularis mamillae and areolae)	NULL
8890/0	Leiomyoma, apoplectic	NULL
8890/0	Leiomyoma, hydropic	NULL
8890/0	Leiomyoma, NOS	1
8890/0	Lipoleiomyoma	NULL
8890/0	Lipomatous leiomyoma	NULL
8890/0	Mesectodermal leiomyoma	NULL
8890/0	Mesoectodermal leiomyoma	NULL
8890/0	Mitotically active leiomyoma	NULL
8890/0	Myolipoma	NULL
8890/0	Piloleiomyoma	NULL
8890/0	Plexiform leiomyoma	NULL
8890/0	Seedling leiomyomas	NULL
8890/1	Diffuse leiomyomatosis	NULL
8890/1	Disseminated peritoneal leiomyomatosis	NULL
8890/1	Intravascular leiomyomatosis	NULL
8890/1	Intravenous leiomyomatosis	NULL
8890/1	Leiomyomatosis peritonealis disseminata	NULL
8890/1	Leiomyomatosis, diffuse	NULL
8890/1	Leiomyomatosis, NOS	1
8890/3	Deep leiomyosarcoma	NULL
8890/3	Inflammatory leiomyosarcoma	NULL
8890/3	Leiomyosarcoma, inflammatory	NULL
8890/3	Leiomyosarcoma, NOS	1
8890/3	Spindle leiomyosarcoma	NULL
8890/3	Superficial leiomyosarcoma	NULL
8891/0	Epithelioid leiomyoma	1
8891/0	Leiomyoblastoma	NULL
8891/1	Epithelioid smooth muscle tumor of uncertain malignant potential	NULL
8891/1	Smooth muscle tumor of uncertain malignant potential, epithelioid	NULL
8891/3	Epithelioid leiomyosarcoma	1
8892/0	Cellular leiomyoma	1
8893/0	Atypical leiomyoma	NULL
8893/0	Bizarre leiomyoma	1
8893/0	Leiomyoma with bizarre nuclei	NULL
8893/0	Pleomorphic leiomyoma	NULL
8893/0	Symplastic leiomyoma	NULL
8894/0	Angioleiomyoma	1
8894/0	Angioleiomyoma, cavernous	NULL
8894/0	Angioleiomyoma, solid	NULL
8894/0	Angioleiomyoma, venous	NULL
8894/0	Angiomyoma	NULL
8894/0	Cavernous angioleiomyoma	NULL
8894/0	Solid angioleiomyoma	NULL
8894/0	Vascular leiomyoma	NULL
8894/0	Venous angioleiomyoma	NULL
8894/3	Angiomyosarcoma	1
8895/0	Myoma	1
8895/3	Myosarcoma	1
8896/0	Myxoid leiomyoma	1
8896/1	Myxoid smooth muscle tumor of uncertain malignant potential	NULL
8896/1	Smooth muscle tumor of uncertain malignant potential, myxoid	NULL
8896/3	Myxoid leiomyosarcoma	1
8897/1	Atypical intradermal smooth muscle neoplasm	NULL
8897/1	EBV-associated smooth muscle tumor	NULL
8897/1	Leiomyosarcoma, cutaneous	NULL
8897/1	Piloleiomyosarcoma	NULL
8897/1	Smooth muscle tumor of uncertain malignant potential	1
8897/1	Smooth muscle tumor, atypical	NULL
8897/1	Smooth muscle tumor, NOS	NULL
8897/1	Spindle smooth muscle tumor of uncertain malignant potential	NULL
8898/1	Metastasizing leiomyoma	1
8900/0	Cardiac rhabdomyoma	NULL
8900/0	Rhabdomyoma, extracardiac	NULL
8900/0	Rhabdomyoma, NOS	1
8900/3	Rhabdomyosarcoma with TFCP2 rearrangement	NULL
8900/3	Rhabdomyosarcoma, NOS	1
8900/3	Rhabdosarcoma	NULL
8900/3	Rhabdosarcoma with TFCP2 rearrangement	NULL
8901/3	Pleomorphic rhabdomyosarcoma, adult type	1
8901/3	Pleomorphic rhabdomyosarcoma, NOS	NULL
8901/3	Rhabdomyosarcoma, pleomorphic-type	NULL
8902/3	Mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma	NULL
8902/3	Mixed type rhabdomyosarcoma	NULL
8903/0	Fetal rhabdomyoma	1
8903/0	Fetal-type rhabdomyoma	NULL
8904/0	Adult cellular rhabdomyoma	1
8904/0	Adult rhabdomyoma	NULL
8904/0	Adult-type rhabdomyoma	NULL
8904/0	Glycogenic rhabdomyoma	NULL
8905/0	Genital rhabdomyoma	1
8910/3	Anaplastic embryonal rhabdomyosarcoma	NULL
8910/3	Botryoid rhabdomyosarcoma	NULL
8910/3	Botryoid sarcoma	NULL
8910/3	Embryonal rhabdomyosarcoma, anaplastic	NULL
8910/3	Embryonal rhabdomyosarcoma, NOS	1
8910/3	Embryonal rhabdomyosarcoma, pleomorphic	NULL
8910/3	Rhabdomyosarcoma, embryonal type	NULL
8910/3	Rhabdopoietic sarcoma	NULL
8910/3	Sarcoma botryoides	NULL
8912/3	Congenital spindle cell rhabdomyosarcoma with VGLL2/NCOA2/CITED2 rearrangements	NULL
8912/3	Intraosseous spindle cell rhabdomyosarcoma (with TFCP2/NCOA2 rearrangements)	NULL
8912/3	Intraosseous spindle cell rhabdomyosarcoma with TFCP2/NCOA2 rearrangements	NULL
8912/3	MYOD1-mutant spindle cell/sclerosing rhabdomyosarcoma	NULL
8912/3	Rhabdomyosarcoma, spindle cell/sclerosing type	NULL
8912/3	Sclerosing rhabdomyosarcoma	NULL
