ICDO32_Code	Term	PrefTerm
8081/2	Intraepidermal squamous cell carcinoma, Bowen type	NULL
8082/3	Lymphoepithelial carcinoma	1
8082/3	Lymphoepithelial carcinoma of salivary gland	NULL
8082/3	Lymphoepithelioma	NULL
8082/3	Lymphoepithelioma-like carcinoma	NULL
8082/3	Lymphoepithelioma-like urothelial carcinoma	NULL
8082/3	Schmincke tumor	NULL
8082/3	Sinonasal lymphoepithelial carcinoma	NULL
8083/2	Basaloid squamous cell carcinoma, in situ	NULL
8083/3	Basaloid squamous cell carcinoma	1
8083/3	Papillary-basaloid carcinoma	NULL
8084/0	Clear cell acanthoma	1
8084/3	Clear cell squamous carcinoma, HPV-associated	NULL
8084/3	Clear cell squamous cell carcinoma	NULL
8084/3	Squamous cell carcinoma, clear cell type	1
8085/0	HPV-associated oral epithelial dysplasia, low grade	NULL
8085/0	Low-grade HPV-associated oral epithelial dysplasia	NULL
8085/2	High-grade HPV-associated oral epithelial dysplasia	NULL
8085/2	HPV-associated oral epithelial dysplasia, high grade	NULL
8085/2	Squamous cell carcinoma in situ, HPV-associated	NULL
8085/3	Adenosquamous carcinoma, HPV-associated	NULL
8085/3	Basaloid squamous cell carcinoma, HPV-associated	NULL
8085/3	Carcinoma, squamous cell, HPV-associated	NULL
8085/3	Ciliated adenosquamous carcinoma, HPV-associated	NULL
8085/3	HPV-associated squamous cell carcinoma	NULL
8085/3	Keratinizing squamous cell carcinoma, HPV-associated	NULL
8085/3	Lymphoepithelial carcinoma, HPV-associated	NULL
8085/3	Lymphoepithelioma-like carcinoma, HPV-associated	NULL
8085/3	Non-keratinizing squamous cell carcinoma, HPV-associated	NULL
8085/3	Papillary squamous cell carcinoma, HPV-associated	NULL
8085/3	Spindle cell / sarcomatoid squamous cell carcinoma, HPV-associated	NULL
8085/3	Squamous cell carcinoma, HPV positive	1
8085/3	Squamous cell carcinoma, HPV-associated	NULL
8085/3	Squamous cell carcinoma, HPV-related	NULL
8085/3	Squamous cell carcinoma, p16-positive	NULL
8085/3	Transitional cell carcinoma of head and neck, HPV-associated	NULL
8086/3	Adenosquamous carcinoma, HPV-independent	NULL
8086/3	Basaloid squamous cell carcinoma, HPV-independent	NULL
8086/3	Carcinoma, squamous cell, HPV-independent	NULL
8086/3	HPV-independent squamous cell carcinoma	NULL
8086/3	Keratinizing squamous cell carcinoma, HPV-independent	NULL
8086/3	Lymphoepithelial carcinoma, HPV-independent	NULL
8086/3	Non-keratinizing squamous cell carcinoma, HPV-independent	NULL
8086/3	Papillary squamous cell carcinoma, HPV-independent	NULL
8086/3	Pseudohyperplastic carcinoma	NULL
8086/3	Spindle cell / sarcomatoid squamous cell carcinoma, HPV-independent	NULL
8086/3	Squamous cell carcinoma, HPV negative	1
8086/3	Squamous cell carcinoma, HPV-independent	NULL
8086/3	Squamous cell carcinoma, p16-negative	NULL
8086/3	Squamous cell carcinoma, usual type	NULL
8086/3	Verrucous carcinoma, HPV-independent	NULL
8090/1	Basal cell tumor	1
8090/3	Basal cell carcinoma with adnexal differentiation	NULL
8090/3	Basal cell carcinoma, NOS	1
8090/3	Basal cell epithelioma	NULL
8090/3	Pigmented basal cell carcinoma	NULL
8090/3	Rodent ulcer	NULL
8091/3	Multicentric basal cell carcinoma	NULL
8091/3	Multifocal superficial basal cell carcinoma	NULL
8091/3	Superficial basal cell carcinoma	1
8092/3	Basal cell carcinoma with sarcomatoid differentiation	NULL
8092/3	Basal cell carcinoma, desmoplastic type	NULL
8092/3	Basal cell carcinoma, morpheic	NULL
8092/3	Basal cell carcinoma, morphoeic	NULL
8092/3	Basal cell carcinoma, sarcomatoid	NULL
8092/3	Basal cell carcinoma, sclerosing/morphoeic	NULL
8092/3	Infiltrating basal cell carcinoma, non-sclerosing	NULL
8092/3	Infiltrating basal cell carcinoma, NOS	1
8092/3	Infiltrating basal cell carcinoma, sclerosing	NULL
8092/3	Sclerosing/morphoeic basal cell carcinoma	NULL
8093/3	Basal cell carcinoma, fibroepithelial	1
8093/3	Fibroepithelial basal cell carcinoma	NULL
8093/3	Fibroepithelial basal cell carcinoma, Pinkus type	NULL
8093/3	Fibroepithelioma of Pinkus type	NULL
8093/3	Fibroepithelioma, NOS	NULL
8093/3	Pinkus tumor	NULL
8094/3	Basosquamous carcinoma	1
8094/3	Mixed basal-squamous cell carcinoma	NULL
8095/3	Metatypical carcinoma	1
8096/0	Intraepidermal epithelioma of Jadassohn	1
8097/3	Basal cell carcinoma, micronodular	NULL
8097/3	Basal cell carcinoma, nodular	1
8097/3	Micronodular basal cell carcinoma	NULL
8097/3	Nodular basal cell carcinoma	NULL
8098/3	Adenoid basal carcinoma	1
8098/3	Adenoid basal epithelioma	NULL
8098/3	Low-grade adenoid basal tumor	NULL
8100/0	Brooke tumor	NULL
8100/0	Epithelioma adenoides cysticum	NULL
8100/0	Trichoblastic fibroma	NULL
8100/0	Trichoblastoma	NULL
8100/0	Trichoepithelioma	1
8100/0	Trichogerminoma	NULL
8100/3	Trichoblastic carcinoma	1
8100/3	Trichoblastic carcinosarcoma	NULL
8101/0	Trichofolliculoma	1
8102/0	Desmoplastic trichilemmoma	NULL
8102/0	Trichilemmoma	1
8102/0	Trichilemmoma, desmoplastic	NULL
8102/3	Trichilemmal carcinoma	NULL
8102/3	Trichilemmocarcinoma	1
8102/3	Trichilemmomal carcinoma	NULL
8102/3	Tricholemmal carcinoma	NULL
8103/0	Pilar tumor	1
8103/1	Proliferating pilar tumor	NULL
8103/1	Proliferating trichilemmal cyst	1
8103/1	Proliferating trichilemmal tumor	NULL
8103/1	Proliferating tricholemmal tumor	NULL
8104/0	Pilar sheath acanthoma	1
8104/0	Tumor of follicular infundibulum	NULL
8110/0	Calcifying epithelioma of Malherbe	NULL
8110/0	Melanocytic matricoma	NULL
8110/0	Pilomatricoma, NOS	1
8110/0	Pilomatrixoma, NOS	NULL
8110/3	Matrical carcinoma	NULL
8110/3	Pilomatrical carcinoma	1
8110/3	Pilomatricoma, malignant	NULL
8110/3	Pilomatrix carcinoma	NULL
8110/3	Pilomatrixoma, malignant	NULL
8120/0	Papilloma of bladder	NULL
8120/0	Transitional cell papilloma, benign	NULL
8120/0	Transitional cell papilloma, NOS	NULL
8120/0	Transitional papilloma	NULL
