Key,FullKey,C_Site,Hist,Behavior,CPC2024B,CPC2025B,CPC2026A
83393,C00083393,C000,8339,3,9,9,3
83403,C00083403,C000,8340,3,9,9,3
83413,C00083413,C000,8341,3,9,9,3
83423,C00083423,C000,8342,3,9,9,3
83433,C00083433,C000,8343,3,9,9,3
83443,C00083443,C000,8344,3,9,9,3
83453,C00083453,C000,8345,3,9,9,3
83463,C00083463,C000,8346,3,9,9,3
83473,C00083473,C000,8347,3,9,9,3
83503,C00083503,C000,8350,3,9,9,3
83703,C00083703,C000,8370,3,9,9,3
83802,C00083802,C000,8380,2,9,9,3
83803,C00083803,C000,8380,3,9,9,3
83813,C00083813,C000,8381,3,9,9,3
83823,C00083823,C000,8382,3,9,9,3
83833,C00083833,C000,8383,3,9,9,3
83843,C00083843,C000,8384,3,9,9,3
83903,C00083903,C000,8390,3,9,9,1
84003,C00084003,C000,8400,3,9,9,3
84013,C00084013,C000,8401,3,9,9,1
84023,C00084023,C000,8402,3,9,9,1
84033,C00084033,C000,8403,3,9,9,1
84063,C00084063,C000,8406,3,9,9,1
84073,C00084073,C000,8407,3,9,9,1
84083,C00084083,C000,8408,3,9,9,1
84092,C00084092,C000,8409,2,9,9,1
84093,C00084093,C000,8409,3,9,9,1
84102,C00084102,C000,8410,2,9,9,3
84103,C00084103,C000,8410,3,9,9,1
84133,C00084133,C000,8413,3,9,9,1
84203,C00084203,C000,8420,3,9,9,3
84302,C00084302,C000,8430,2,9,9,3
84303,C00084303,C000,8430,3,1,1,1
84403,C00084403,C000,8440,3,9,9,3
84412,C00084412,C000,8441,2,9,9,3
84413,C00084413,C000,8441,3,9,9,3
84503,C00084503,C000,8450,3,9,9,3
84523,C00084523,C000,8452,3,9,9,3
84532,C00084532,C000,8453,2,9,9,3
84533,C00084533,C000,8453,3,9,9,3
84552,C00084552,C000,8455,2,9,9,3
84553,C00084553,C000,8455,3,9,9,3
84602,C00084602,C000,8460,2,9,9,3
84603,C00084603,C000,8460,3,9,9,3
84613,C00084613,C000,8461,3,9,9,3
84702,C00084702,C000,8470,2,9,9,3
84703,C00084703,C000,8470,3,9,9,3
84713,C00084713,C000,8471,3,9,9,3
84743,C00084743,C000,8474,3,9,9,3
84802,C00084802,C000,8480,2,9,9,3
84803,C00084803,C000,8480,3,1,1,2
84813,C00084813,C000,8481,3,1,1,3
84823,C00084823,C000,8482,3,9,9,3
84903,C00084903,C000,8490,3,9,9,3
85003,C00085003,C000,8500,3,9,9,3
85012,C00085012,C000,8501,2,9,9,3
85013,C00085013,C000,8501,3,9,9,3
85023,C00085023,C000,8502,3,9,9,1
85032,C00085032,C000,8503,2,9,9,3
85033,C00085033,C000,8503,3,9,9,3
85042,C00085042,C000,8504,2,9,9,3
85043,C00085043,C000,8504,3,9,9,3
85072,C00085072,C000,8507,2,9,9,3
85073,C00085073,C000,8507,3,9,9,3
85083,C00085083,C000,8508,3,9,9,3
85092,C00085092,C000,8509,2,9,9,3
85093,C00085093,C000,8509,3,9,9,3
85103,C00085103,C000,8510,3,9,9,3
85123,C00085123,C000,8512,3,9,9,3
85133,C00085133,C000,8513,3,9,9,3
85143,C00085143,C000,8514,3,9,9,3
85192,C00085192,C000,8519,2,9,9,3
85202,C00085202,C000,8520,2,9,9,3
85203,C00085203,C000,8520,3,9,9,3
85213,C00085213,C000,8521,3,9,9,3
85222,C00085222,C000,8522,2,9,9,3
85223,C00085223,C000,8522,3,9,9,3
85233,C00085233,C000,8523,3,9,9,3
85243,C00085243,C000,8524,3,9,9,3
85252,C00085252,C000,8525,2,9,9,3
85253,C00085253,C000,8525,3,9,9,1
85303,C00085303,C000,8530,3,9,9,3
85403,C00085403,C000,8540,3,9,9,3
85413,C00085413,C000,8541,3,9,9,3
85423,C00085423,C000,8542,3,9,9,1
85433,C00085433,C000,8543,3,9,9,3
85503,C00085503,C000,8550,3,9,9,3
85513,C00085513,C000,8551,3,9,9,3
85523,C00085523,C000,8552,3,9,9,3
85603,C00085603,C000,8560,3,9,9,1
85623,C00085623,C000,8562,3,9,9,1
85703,C00085703,C000,8570,3,9,9,3
85713,C00085713,C000,8571,3,9,9,3
85723,C00085723,C000,8572,3,9,9,3
85733,C00085733,C000,8573,3,9,9,3
85743,C00085743,C000,8574,3,9,9,3
85753,C00085753,C000,8575,3,9,9,3
85763,C00085763,C000,8576,3,9,9,3
85803,C00085803,C000,8580,3,9,9,3
85813,C00085813,C000,8581,3,9,9,3
85823,C00085823,C000,8582,3,9,9,3
85833,C00085833,C000,8583,3,9,9,3
85843,C00085843,C000,8584,3,9,9,3
85853,C00085853,C000,8585,3,9,9,3
85863,C00085863,C000,8586,3,9,9,3
85883,C00085883,C000,8588,3,9,9,3
85893,C00085893,C000,8589,3,9,9,3
86003,C00086003,C000,8600,3,9,9,3
86203,C00086203,C000,8620,3,9,9,3
86303,C00086303,C000,8630,3,9,9,3
86313,C00086313,C000,8631,3,9,9,3
86343,C00086343,C000,8634,3,9,9,3
86403,C00086403,C000,8640,3,9,9,3
86503,C00086503,C000,8650,3,9,9,3
86703,C00086703,C000,8670,3,9,9,3
86803,C00086803,C000,8680,3,9,9,3
86813,C00086813,C000,8681,3,9,9,3
86823,C00086823,C000,8682,3,9,9,3
86903,C00086903,C000,8690,3,9,9,3
86913,C00086913,C000,8691,3,9,9,3
86923,C00086923,C000,8692,3,9,9,3
86933,C00086933,C000,8693,3,9,9,3
87003,C00087003,C000,8700,3,9,9,3
87103,C00087103,C000,8710,3,9,9,3
87113,C00087113,C000,8711,3,9,9,1
87202,C00087202,C000,8720,2,1,1,1
87203,C00087203,C000,8720,3,1,1,1
87213,C00087213,C000,8721,3,1,1,1
87223,C00087223,C000,8722,3,1,1,3
87233,C00087233,C000,8723,3,1,1,3
87283,C00087283,C000,8728,3,9,9,3
87303,C00087303,C000,8730,3,1,1,3
87403,C00087403,C000,8740,3,9,9,3
87412,C00087412,C000,8741,2,9,9,3
87413,C00087413,C000,8741,3,9,9,3
87422,C00087422,C000,8742,2,9,9,1
87423,C00087423,C000,8742,3,9,9,1
87433,C00087433,C000,8743,3,1,1,1
87443,C00087443,C000,8744,3,9,9,1
87453,C00087453,C000,8745,3,1,1,1
87463,C00087463,C000,8746,3,1,1,1
87703,C00087703,C000,8770,3,1,1,1
87713,C00087713,C000,8771,3,1,1,3
87723,C00087723,C000,8772,3,1,1,3
87733,C00087733,C000,8773,3,9,9,3
87743,C00087743,C000,8774,3,9,9,3
88003,C00088003,C000,8800,3,9,9,1
88013,C00088013,C000,8801,3,9,9,1
88023,C00088023,C000,8802,3,9,9,3
88033,C00088033,C000,8803,3,9,9,3
88043,C00088043,C000,8804,3,9,9,1
88053,C00088053,C000,8805,3,9,9,1
88123,C00088123,C000,8812,3,9,9,3
88133,C00088133,C000,8813,3,9,9,3
88153,C00088153,C000,8815,3,9,9,1
88303,C00088303,C000,8830,3,9,9,3
88323,C00088323,C000,8832,3,9,9,1
88533,C00088533,C000,8853,3,9,9,3
88553,C00088553,C000,8855,3,9,9,3
88573,C00088573,C000,8857,3,9,9,3
88943,C00088943,C000,8894,3,9,9,3
88953,C00088953,C000,8895,3,9,9,3
89003,C00089003,C000,8900,3,9,9,1
89023,C00089023,C000,8902,3,9,9,3
89103,C00089103,C000,8910,3,9,9,1
89123,C00089123,C000,8912,3,9,9,1
89203,C00089203,C000,8920,3,9,9,1
89303,C00089303,C000,8930,3,9,9,3
89313,C00089313,C000,8931,3,9,9,3
89333,C00089333,C000,8933,3,9,9,3
89343,C00089343,C000,8934,3,9,9,3
89353,C00089353,C000,8935,3,9,9,3
89363,C00089363,C000,8936,3,9,9,3
89403,C00089403,C000,8940,3,1,1,3
89412,C00089412,C000,8941,2,9,9,1
